test/stochastic/0/hammer-v1/success,test/stochastic/1/push-wall-v1/success,test/stochastic/2/faucet-close-v1/success,test/stochastic/3/push-back-v1/success,test/stochastic/4/stick-pull-v1/success,test/stochastic/5/handle-press-side-v1/success,test/stochastic/6/push-v1/success,test/stochastic/7/shelf-place-v1/success,test/stochastic/8/window-close-v1/success,test/stochastic/9/peg-unplug-side-v1/success,epoch,directory,method,seed,test/stochastic/average_success
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_103,packnet,3,0.0699999999999999
0.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_103,packnet,3,0.15
0.4,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_103,packnet,3,0.21
0.2,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_103,packnet,3,0.27
0.9,0.7,1.0,1.0,0.8,0.3,0.0,0.0,0.0,0.1,250,cl_103,packnet,3,0.48
0.5,0.7,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,300,cl_103,packnet,3,0.5
0.5,0.6,1.0,1.0,0.7,0.9,0.8,0.0,0.0,0.0,350,cl_103,packnet,3,0.55
0.3,0.5,1.0,1.0,0.9,0.8,0.9,1.0,0.0,0.0,400,cl_103,packnet,3,0.64
0.4,0.7,1.0,1.0,0.8,0.9,0.8,0.9,1.0,0.0,450,cl_103,packnet,3,0.7500000000000001
0.3,1.0,1.0,1.0,0.8,1.0,1.0,0.9,1.0,1.0,500,cl_103,packnet,3,0.9
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_104,packnet,4,0.08
1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_104,packnet,4,0.18
1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_104,packnet,4,0.27
0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_104,packnet,4,0.36
0.8,0.7,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,250,cl_104,packnet,4,0.3399999999999999
0.9,0.8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,300,cl_104,packnet,4,0.47
1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,350,cl_104,packnet,4,0.55
0.9,0.6,0.9,1.0,0.0,0.9,0.8,0.3,0.0,0.0,400,cl_104,packnet,4,0.5399999999999999
0.7,0.9,0.8,1.0,0.0,1.0,0.9,0.1,1.0,0.0,450,cl_104,packnet,4,0.64
1.0,0.7,0.8,1.0,0.0,1.0,0.8,0.4,0.7,1.0,500,cl_104,packnet,4,0.74
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_105,packnet,5,0.1
1.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,100,cl_105,packnet,5,0.2
1.0,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_105,packnet,5,0.27
0.8,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_105,packnet,5,0.37
1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,250,cl_105,packnet,5,0.4599999999999999
1.0,1.0,1.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,300,cl_105,packnet,5,0.54
1.0,1.0,1.0,1.0,0.8,0.9,0.9,0.0,0.0,0.0,350,cl_105,packnet,5,0.66
1.0,0.9,1.0,1.0,0.8,0.9,1.0,0.7,0.0,0.0,400,cl_105,packnet,5,0.7300000000000001
1.0,1.0,1.0,1.0,0.8,1.0,0.9,1.0,1.0,0.0,450,cl_105,packnet,5,0.8699999999999999
1.0,1.0,0.8,1.0,0.6,1.0,0.8,1.0,1.0,1.0,500,cl_105,packnet,5,0.92
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_106,packnet,6,0.02
0.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_106,packnet,6,0.12
0.2,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_106,packnet,6,0.2
0.1,0.9,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_106,packnet,6,0.29
0.4,0.8,1.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,250,cl_106,packnet,6,0.39
0.5,0.9,1.0,0.9,0.8,1.0,0.0,0.0,0.0,0.0,300,cl_106,packnet,6,0.51
0.4,0.6,1.0,1.0,0.6,0.9,0.9,0.0,0.0,0.0,350,cl_106,packnet,6,0.54
0.4,0.7,1.0,1.0,0.5,0.9,0.9,0.6,0.0,0.0,400,cl_106,packnet,6,0.6
0.3,0.8,1.0,1.0,0.5,1.0,1.0,0.9,1.0,0.0,450,cl_106,packnet,6,0.75
0.5,0.9,1.0,1.0,0.5,1.0,0.9,0.7,1.0,1.0,500,cl_106,packnet,6,0.85
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_107,packnet,7,0.09
1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_107,packnet,7,0.16
1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_107,packnet,7,0.25
0.9,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_107,packnet,7,0.37
1.0,0.3,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,250,cl_107,packnet,7,0.41
1.0,0.8,1.0,1.0,0.5,0.8,0.0,0.0,0.0,0.0,300,cl_107,packnet,7,0.51
1.0,0.7,1.0,1.0,0.7,1.0,0.9,0.0,0.0,0.0,350,cl_107,packnet,7,0.6300000000000001
1.0,0.7,1.0,1.0,0.8,0.8,1.0,0.9,0.0,0.0,400,cl_107,packnet,7,0.72
1.0,0.4,0.9,1.0,1.0,0.7,0.9,0.5,0.9,0.0,450,cl_107,packnet,7,0.7300000000000001
0.9,0.8,1.0,1.0,0.6,0.8,0.9,0.6,1.0,1.0,500,cl_107,packnet,7,0.86
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_108,packnet,8,0.09
1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_108,packnet,8,0.16
1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,150,cl_108,packnet,8,0.29
0.9,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_108,packnet,8,0.35
1.0,0.6,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,250,cl_108,packnet,8,0.45
0.8,0.8,1.0,1.0,0.7,1.0,0.0,0.0,0.0,0.0,300,cl_108,packnet,8,0.53
0.8,0.7,1.0,1.0,0.8,1.0,0.7,0.0,0.0,0.1,350,cl_108,packnet,8,0.61
1.0,1.0,1.0,1.0,0.6,0.9,0.9,0.4,0.0,0.0,400,cl_108,packnet,8,0.68
0.8,0.8,1.0,1.0,0.8,1.0,0.8,0.7,1.0,0.0,450,cl_108,packnet,8,0.79
0.8,0.8,1.0,1.0,0.8,1.0,0.7,0.8,1.0,1.0,500,cl_108,packnet,8,0.89
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_109,packnet,9,0.09
0.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_109,packnet,9,0.1399999999999999
1.0,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_109,packnet,9,0.27
0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_109,packnet,9,0.38
0.9,0.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,250,cl_109,packnet,9,0.48
1.0,0.9,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,300,cl_109,packnet,9,0.5800000000000001
0.9,0.9,1.0,1.0,0.9,1.0,0.6,0.0,0.0,0.0,350,cl_109,packnet,9,0.63
1.0,0.9,1.0,1.0,1.0,0.9,0.7,0.7,0.0,0.0,400,cl_109,packnet,9,0.7200000000000001
0.9,0.9,1.0,1.0,1.0,1.0,0.7,0.9,1.0,0.0,450,cl_109,packnet,9,0.8400000000000001
1.0,0.8,0.9,1.0,1.0,1.0,0.7,0.9,1.0,1.0,500,cl_109,packnet,9,0.93
0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_11,None_fifo,11,0.1
0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_11,None_fifo,11,0.08
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_11,None_fifo,11,0.1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_11,None_fifo,11,0.1
0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,250,cl_11,None_fifo,11,0.06
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,300,cl_11,None_fifo,11,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,350,cl_11,None_fifo,11,0.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,400,cl_11,None_fifo,11,0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,450,cl_11,None_fifo,11,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,500,cl_11,None_fifo,11,0.1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_110,packnet,10,0.1
1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_110,packnet,10,0.1399999999999999
1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_110,packnet,10,0.2799999999999999
1.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_110,packnet,10,0.3399999999999999
1.0,0.8,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,250,cl_110,packnet,10,0.39
1.0,0.9,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,300,cl_110,packnet,10,0.5
1.0,0.6,1.0,1.0,0.1,1.0,0.9,0.0,0.0,0.0,350,cl_110,packnet,10,0.56
1.0,0.7,0.9,1.0,0.0,0.9,1.0,0.6,0.0,0.0,400,cl_110,packnet,10,0.61
1.0,0.7,1.0,1.0,0.1,1.0,0.8,0.5,0.9,0.0,450,cl_110,packnet,10,0.7000000000000001
1.0,0.7,1.0,1.0,0.4,1.0,0.7,0.6,0.9,1.0,500,cl_110,packnet,10,0.8300000000000001
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_111,packnet,11,0.1
1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_111,packnet,11,0.18
1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,150,cl_111,packnet,11,0.3
1.0,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_111,packnet,11,0.39
1.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,250,cl_111,packnet,11,0.48
1.0,0.7,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.3,300,cl_111,packnet,11,0.5900000000000001
1.0,0.9,1.0,1.0,0.9,1.0,1.0,0.0,0.0,0.0,350,cl_111,packnet,11,0.6799999999999999
1.0,0.7,1.0,1.0,0.9,1.0,1.0,0.8,0.0,0.0,400,cl_111,packnet,11,0.74
